BAC,recid,treat,run,runint
.39700001,.5,1,.317,.317
.39899999,0,1,.31899998,.31899998
.40000001,0,1,.31999999,.31999999
.40099999,0,1,.32099998,.32099998
.40200001,0,1,.322,.322
.403,0,1,.32299998,.32299998
.40400001,0,1,.324,.324
.405,0,1,.32499999,.32499999
.40700001,0,1,.32699999,.32699999
.40799999,1,1,.32799998,.32799998
.40900001,0,1,.329,.329
.412,.5,1,.33199999,.33199999
.41299999,.66666669,1,.33299997,.33299997
.414,0,1,.33399999,.33399999
.41499999,0,1,.33499998,.33499998
.417,0,1,.33699998,.33699998
.419,0,1,.33899999,.33899999
.41999999,0,1,.33999997,.33999997
.421,0,1,.34099999,.34099999
.42199999,.5,1,.34199998,.34199998
.426,1,1,.34599999,.34599999
.42699999,0,1,.34699997,.34699997
.428,0,1,.34799999,.34799999
.43200001,0,1,.352,.352
.435,0,1,.35499999,.35499999
.442,0,1,.36199999,.36199999
,.16924839,1,,
